product_id,product_name,category,price,stock_quantity,description,supplier_id
1,Upgradable mission-critical superstructure Pro,Food & Beverages,288.81,336,"Score we house material. Much point hard.
Home believe five be look hundred. Side stay stop fast.",2
2,Vision-oriented well-modulated system engine Deluxe,Clothing,329.38,476,"Ask our degree. Direction door take gun majority everyone. Read great couple life wear town far.
Have training report others. Result language southern second fine.",8
3,Horizontal value-added project Standard,Home & Garden,811.1,485,Century among fund build yourself. Instead movement itself spend prove. Investment pay learn degree.,12
4,Phased upward-trending Graphical User Interface Standard,Food & Beverages,553.75,307,Story begin anything friend worker they official wonder. Eat material officer only. School thought sense individual green drop.,3
5,Vision-oriented even-keeled installation Pro,Home & Garden,149.64,186,Hope least down structure yeah girl artist. Night we hold sell.,1
6,Function-based content-based protocol Standard,Food & Beverages,830.6,318,"About later education pass whatever. Scientist area out hit hold half establish garden. While response provide.
But approach attention room condition drop. Positive business yard its.",12
7,Optional 24hour process improvement Premium,Beauty,517.58,463,Thousand toward since talk. Well check role care idea environmental too matter. Million student national down call air become eye.,6
8,Automated well-modulated attitude Deluxe,Food & Beverages,210.36,27,"City describe degree eight. Participant shoulder time building candidate.
Education time quite red line. Discussion she high. National trip debate draw.",15
9,Upgradable executive focus group Premium,Toys,564.9,445,"Study deep behind local couple store. Bring window employee simple body lead own region. Go rise also through production modern.
Page travel wall gun. Send certainly one such put role worry.",14
10,Persevering modular focus group Standard,Books,187.0,225,"Maintain attorney nice market. True society hit painting during former work. Choice write of.
Fight story meeting I drug city turn. Difficult defense cup wall fear throw rock.",5
11,Multi-lateral even-keeled budgetary management Pro,Toys,341.18,494,Discussion account deal check form good bed. Either together not than last quality treatment. Individual law ever change order road learn.,13
12,Pre-emptive object-oriented hierarchy Basic,Electronics,369.33,154,"Population tax special cause bad your ask we. Song plan about drive head she condition.
School issue soldier customer. Magazine including data leave enjoy point bill bag.",5
13,Optional full-range complexity Basic,Food & Beverages,180.9,10,"Yeah question teacher election. Window over continue.
Popular crime structure for nice foreign. Move far black growth program focus.",6
